434.3183,481.4703
428.1859,442.5744
430.6028,417.5536
431.9488,505.5683
424.1876,438.4633
455.1260,444.4805
433.3440,506.4347
419.3630,471.2507
498.8585,408.5970
427.1022,395.8535
464.7995,455.5451
424.8235,440.7236
433.8072,426.6509
434.4717,456.7136
444.2292,459.0464
473.7310,422.7184
449.5951,418.2687
434.0850,432.7255
460.9979,421.8036
470.4567,505.4012
479.2536,445.5883
459.9379,479.2664
420.5547,463.8631
425.4534,512.7716
466.7937,482.4234
402.1672,432.0187
411.5909,476.1737
451.6717,482.8257
435.6248,444.4302
436.7987,453.9222
460.7105,429.2127
405.6424,484.3126
478.0704,488.1467
416.6827,502.5681
458.6932,512.2620
460.1549,437.5414
417.5681,468.4781
475.0708,416.1088
489.1644,450.6301
436.0975,436.0281
465.4511,465.4136
436.2192,424.5047
436.6070,455.8227
458.6751,523.6590
470.5878,401.6185
461.1344,431.8804
450.5526,500.2931
444.3939,436.8081
467.3122,443.9086
469.6310,448.3325
434.1072,465.3980
492.0838,407.9445
505.9732,464.2150
450.8496,450.8927
371.4076,474.6571
448.0176,413.6695
458.0115,476.6889
426.7863,412.6604
446.7372,462.0514
460.7336,466.8235
408.6699,421.8652
455.7330,451.3931
465.5298,428.2277
456.4228,412.6278
462.2476,398.9225
485.3789,452.0256
435.8420,482.6685
418.1309,464.2078
478.1485,434.5187
424.8083,432.0182
450.4179,449.2762
432.7901,433.5942
496.4252,503.8763
462.3879,433.0883
451.8069,523.8973
432.2282,424.0803
428.5409,470.3879
431.6163,438.3690
416.8100,414.1138
455.9718,431.9935
466.4129,443.9342
428.0890,456.4938
431.1910,504.3735
515.6941,425.7511
467.2967,459.3375
420.7595,473.6125
444.9865,454.4014
474.3758,490.6872
441.7484,380.9424
404.4189,435.4730
457.7917,422.8705
482.0002,485.0789
452.3210,424.1615
410.3930,504.9438
442.5311,479.1471
485.8514,404.3044
458.5760,460.0337
437.3944,441.5465
452.0941,438.4406
459.7840,412.4666
422.3030,409.4495
496.5150,420.0494
493.4093,455.8966
436.9651,440.7248
449.6326,423.0824
476.1696,455.5003
468.7700,424.2853
482.2090,419.2045
481.7527,397.2378
435.3718,437.0233
430.8678,434.0701
387.9767,447.3264
