0.0000__16.0000, 1.3040__16.0000, 1.7014__16.0000, 2.8393__16.0000, 3.8130__16.0000, 5.3598__16.0000, 6.2934__16.0000, 7.2613__16.0000, 7.9427__16.0000, 9.1783__16.0000, 10.7279__16.0000, 11.4917__16.0000, 11.7638__16.0000, 13.2674__16.0000, 13.9800__16.0000, 15.1596__16.0000, 16.0000__16.0000, 
0.0000__14.7012, 0.9752__15.0438, 1.8871__15.1602, 2.7845__14.9463, 4.0812__14.7761, 5.0252__14.9086, 6.5374__14.9449, 7.0886__14.9401, 7.9964__15.0422, 9.2203__14.8873, 10.4682__15.0741, 11.5248__15.2490, 12.2060__14.7999, 13.1223__14.6462, 13.6566__14.9447, 15.2898__15.1270, 16.0000__15.0491, 
0.0000__14.1615, 0.8650__13.9604, 1.8718__14.0228, 3.2386__13.8011, 3.9383__13.6577, 4.9530__13.8025, 6.3163__13.9875, 7.1466__14.1177, 8.2279__13.6756, 9.3721__13.6181, 10.3496__13.5803, 11.2887__13.7884, 12.4364__14.0674, 12.8289__14.3314, 13.7282__14.2716, 15.0353__14.0715, 16.0000__14.4781, 
0.0000__12.8517, 0.9838__13.0046, 1.7992__12.9085, 3.3402__13.0707, 4.0379__12.9824, 5.1283__12.7173, 6.2500__12.5124, 7.2048__12.5252, 8.2990__12.7747, 9.1171__13.1135, 10.5889__13.1171, 11.1600__12.9751, 11.9890__13.3028, 12.8264__13.4064, 14.1138__13.0558, 14.8604__12.9647, 16.0000__12.7564, 
0.0000__11.5620, 0.7701__11.6488, 2.0542__11.7435, 2.9472__11.7116, 4.4024__11.7049, 5.3126__11.4578, 5.8792__11.6904, 7.0802__12.0463, 8.1653__11.9173, 8.9551__11.9429, 10.3614__12.3079, 11.2023__12.6540, 11.9244__12.2218, 12.9804__12.0165, 14.1106__12.2624, 15.1848__12.0341, 16.0000__11.9149, 
0.0000__10.5180, 0.7424__10.5137, 1.8720__10.7097, 3.2957__10.6039, 4.2640__10.5093, 5.0109__11.0276, 6.0420__10.9388, 6.6722__10.7284, 8.3951__11.0153, 8.7562__11.1008, 10.2512__11.0312, 11.1626__10.8097, 12.0374__11.2969, 13.3076__11.0823, 13.9263__10.8226, 15.1805__11.2789, 16.0000__11.4110, 
0.0000__9.7245, 0.7078__9.8299, 1.8429__9.8338, 3.2542__9.8426, 4.0669__10.1502, 5.2380__9.5776, 6.0234__9.8774, 6.8683__9.9499, 8.0634__9.7523, 8.6779__10.1449, 10.3558__10.0854, 10.9140__10.4887, 11.9780__10.3114, 13.5490__10.1360, 13.8359__10.1636, 15.2543__9.8273, 16.0000__9.5930, 
0.0000__8.7037, 0.7601__8.5942, 1.9976__8.4565, 2.8327__8.6769, 4.2129__8.4892, 5.2501__8.5867, 5.4576__8.8755, 7.3704__9.0231, 7.9366__8.8586, 8.8514__8.6503, 9.7514__9.1189, 11.3472__8.7464, 12.0735__8.6533, 13.1277__9.2802, 13.9967__9.2840, 15.5609__9.1009, 16.0000__9.0833, 
0.0000__7.8767, 0.9799__7.7480, 1.8591__7.7684, 2.8738__7.7038, 4.1692__7.6325, 4.8073__8.0092, 5.9503__7.9044, 6.8200__7.6790, 8.2160__7.8090, 8.5064__8.0062, 10.0012__7.8017, 11.2535__7.8564, 11.9807__8.0923, 12.7058__8.0017, 14.3536__8.0347, 15.3191__8.2925, 16.0000__8.5574, 
0.0000__7.1722, 1.1335__7.1139, 1.7451__7.0178, 3.1697__6.9472, 4.0127__6.8554, 4.6919__6.7890, 6.0559__7.0905, 7.0075__6.9618, 7.8992__7.0972, 8.6889__7.0127, 10.2312__6.6828, 10.9017__6.7126, 11.8142__6.8192, 13.1590__6.6999, 13.8693__6.7058, 15.2360__7.0491, 16.0000__6.7985, 
0.0000__6.1775, 1.0308__6.4718, 2.2179__6.1915, 2.7625__6.0711, 4.3888__6.2038, 4.8762__5.7956, 5.7760__5.6415, 7.0678__5.8004, 7.4666__6.0260, 9.2293__6.1643, 9.9969__6.3499, 11.2278__6.2959, 11.7321__5.8444, 13.1122__6.0808, 13.8432__6.1621, 15.2041__6.0023, 16.0000__6.3079, 
0.0000__5.2875, 1.0222__5.0366, 2.2759__5.4263, 3.1500__5.1113, 4.2226__4.9699, 5.1339__5.2168, 5.7715__5.0442, 6.5986__5.2808, 7.6732__5.3476, 8.9225__5.0115, 10.0438__5.0009, 11.1356__5.1690, 12.1473__5.2786, 12.6537__5.0769, 14.1145__5.2168, 15.0298__5.2888, 16.0000__5.1336, 
