0.0000__64.0000, 1.1419__64.0000, 1.9936__64.0000, 2.5304__64.0000, 3.8180__64.0000, 4.5528__64.0000, 5.8460__64.0000, 6.6700__64.0000, 7.5071__64.0000, 8.3298__64.0000, 9.5790__64.0000, 11.1667__64.0000, 11.3475__64.0000, 13.3899__64.0000, 13.5265__64.0000, 15.4285__64.0000, 15.7075__64.0000, 17.5815__64.0000, 18.3367__64.0000, 19.6361__64.0000, 20.3034__64.0000, 21.5358__64.0000, 21.8007__64.0000, 23.0910__64.0000, 24.1571__64.0000, 25.2483__64.0000, 25.7574__64.0000, 27.1678__64.0000, 27.6761__64.0000, 29.0899__64.0000, 30.1572__64.0000, 30.6788__64.0000, 31.1472__64.0000, 32.4502__64.0000, 33.4015__64.0000, 34.2522__64.0000, 35.2907__64.0000, 36.6551__64.0000, 36.8351__64.0000, 38.6918__64.0000, 39.8138__64.0000, 40.1916__64.0000, 41.5173__64.0000, 41.8787__64.0000, 43.3025__64.0000, 44.4659__64.0000, 45.5430__64.0000, 47.0978__64.0000, 47.9045__64.0000, 49.1238__64.0000, 49.7097__64.0000, 50.7426__64.0000, 51.2529__64.0000, 52.9811__64.0000, 53.9062__64.0000, 55.0484__64.0000, 55.5798__64.0000, 56.8620__64.0000, 57.4032__64.0000, 58.6603__64.0000, 58.8714__64.0000, 60.7717__64.0000, 61.6603__64.0000, 63.0639__64.0000, 64.0000__64.0000, 
0.0000__63.4192, 1.2258__63.3180, 2.0545__63.2056, 2.7858__63.0005, 3.2297__63.1376, 5.0857__63.2040, 5.6503__62.9641, 6.8276__62.9846, 7.3736__62.9312, 8.4377__62.9658, 9.5275__62.8336, 11.0289__63.3244, 11.8839__62.9968, 12.9166__63.0561, 14.1049__62.9696, 14.6206__62.7221, 16.0831__63.1100, 17.3233__62.7445, 18.5076__62.8618, 19.5647__62.8435, 20.2537__62.9898, 21.2765__63.4882, 22.2799__63.2848, 23.1115__62.7214, 24.0608__62.7592, 24.8794__63.0247, 26.1140__62.9883, 26.9643__62.8929, 27.8815__62.8634, 29.0544__62.6395, 29.8443__62.9415, 30.6513__63.2757, 31.4379__63.0607, 32.2258__62.9271, 33.5635__62.9857, 34.3410__62.7853, 35.2762__62.6990, 36.2397__63.1105, 37.0765__63.2806, 38.5458__63.0684, 39.8776__63.2901, 40.4177__63.1065, 41.2625__63.0987, 42.0526__63.1338, 43.4063__62.7307, 44.2159__62.7128, 45.6257__62.7412, 46.7016__62.9922, 48.2572__62.9738, 49.0436__62.7700, 49.8405__62.7088, 50.3392__62.8999, 51.7770__62.9037, 52.7014__62.6910, 53.9160__62.8902, 54.7113__63.2413, 55.8301__63.2701, 56.6364__63.2553, 57.9194__63.0252, 58.3131__63.1272, 59.3136__63.0720, 60.2205__62.7450, 61.9448__62.9132, 62.8011__62.8960, 64.0000__63.1616, 
0.0000__62.1336, 1.3589__62.1175, 2.1237__62.1305, 2.6368__62.5178, 3.7930__62.0836, 4.6821__61.9969, 5.8218__62.5436, 6.8916__62.1353, 7.2547__62.1821, 8.6929__62.1150, 9.4517__62.0314, 10.9108__61.8050, 12.2267__61.7514, 12.7182__61.6788, 14.3029__62.1474, 14.8418__61.9165, 16.0359__61.5457, 17.3462__61.8429, 18.3287__61.8708, 19.3513__62.1953, 20.0465__62.3620, 21.0541__62.1643, 22.6294__62.1031, 23.0677__62.4673, 24.3843__62.3586, 24.8817__61.7632, 25.7663__61.9527, 27.0825__62.2583, 27.9596__62.0307, 29.0659__62.0692, 29.3974__62.1273, 30.7811__62.1569, 31.6362__62.1248, 32.2248__62.0641, 33.6762__61.8627, 34.1338__62.0757, 35.2763__62.3300, 36.1632__61.9550, 37.1358__61.8658, 38.4816__62.1201, 39.8367__62.2056, 40.5670__62.4697, 41.3446__62.4029, 42.3577__62.0628, 43.4130__62.1918, 44.5455__61.9469, 45.4573__61.7522, 47.0154__61.4014, 47.5471__61.6386, 49.3001__62.0733, 49.6692__62.1845, 50.8408__61.8671, 51.7367__61.3699, 52.3940__61.7964, 53.8025__62.0547, 54.7046__61.8783, 55.7826__61.9573, 56.9217__61.7712, 57.4910__62.1313, 58.3447__62.4987, 59.5470__62.2933, 60.5625__62.0723, 61.6348__61.8945, 62.8084__62.2041, 64.0000__61.8943, 
0.0000__61.4574, 1.4330__61.2808, 1.6849__61.5236, 3.1249__61.1164, 3.5192__61.1029, 4.8838__61.1618, 5.8997__60.6611, 6.8000__61.0776, 7.4327__60.9517, 8.5948__60.9860, 9.7286__60.9145, 11.1427__60.6297, 11.9454__60.8103, 12.9065__61.0395, 14.2421__60.4286, 14.9185__60.6346, 16.0563__60.9074, 17.1888__60.7057, 18.2051__60.9439, 19.0120__61.0077, 20.3138__60.9500, 21.4595__60.6300, 21.8564__60.9232, 23.4161__60.8225, 24.2766__61.0374, 25.1906__61.3656, 25.8322__60.7627, 26.8676__60.7541, 27.9312__61.2876, 28.9978__61.4660, 29.8228__61.1309, 30.7619__60.8023, 31.6073__60.8609, 32.2404__60.8412, 33.5521__61.0481, 34.1765__60.8827, 34.9574__60.7071, 36.5105__61.0460, 36.8975__60.9986, 38.6491__60.8354, 39.3948__61.0545, 40.7890__61.0059, 41.3573__60.9986, 42.5886__61.2667, 43.5700__60.7467, 44.8144__60.6674, 45.6846__60.2971, 46.5986__60.8614, 47.8083__60.7530, 48.6660__60.5293, 49.9649__60.7843, 51.0153__60.8108, 51.7351__61.0563, 52.3147__60.7366, 53.5808__60.7584, 54.8243__61.0402, 55.6067__61.0134, 56.9332__60.9425, 57.2007__60.9339, 58.6316__60.9638, 59.6850__60.8474, 60.7414__60.9176, 61.7218__60.9144, 62.8608__60.6186, 64.0000__60.9255, 
0.0000__59.8010, 1.2826__60.5232, 2.1486__59.8410, 2.9321__60.2179, 3.7480__60.1970, 4.6850__59.5430, 5.8425__60.3114, 6.8386__59.8538, 7.3139__59.8676, 8.9665__59.6223, 9.7420__59.3531, 10.9091__59.7197, 11.7938__59.8521, 13.0230__59.6043, 14.2546__59.9675, 14.8027__59.8820, 16.1060__59.5337, 17.2680__59.5551, 17.8757__59.6427, 19.4074__59.6229, 20.3930__59.4695, 21.1113__60.1441, 22.1055__59.9136, 23.0237__59.6348, 24.0245__60.0033, 25.1089__59.7445, 26.1650__60.1026, 26.5507__60.0614, 28.0413__59.8772, 28.7297__59.8773, 30.1191__60.1038, 30.6946__60.2591, 31.4733__60.3840, 32.3709__60.4026, 33.4557__60.1664, 34.3771__60.2992, 35.0048__60.1784, 36.4815__59.9196, 37.1004__59.7902, 38.2826__60.0293, 39.6273__59.8881, 40.6292__59.9381, 41.4504__59.9391, 42.6153__59.5370, 43.7141__59.7410, 44.7793__59.7001, 45.6869__59.7640, 46.4403__59.5295, 48.0744__60.3010, 49.0263__59.8907, 50.0314__59.5311, 50.4736__60.0141, 51.8319__60.0106, 52.4964__60.0616, 53.3582__60.1294, 54.9876__59.9682, 55.5748__59.8997, 56.8397__60.1814, 57.5095__60.0671, 58.3530__59.8741, 59.9151__59.9796, 60.4970__59.8181, 62.0406__59.6216, 62.6839__59.7926, 64.0000__59.7557, 
0.0000__59.0625, 1.1353__58.5692, 1.9602__59.3424, 2.8836__59.0784, 4.1125__59.0987, 4.7762__59.2459, 5.8886__58.6657, 6.8590__59.1805, 7.6956__58.6468, 8.8286__58.5003, 9.9256__58.7452, 10.8888__58.2361, 11.7720__58.1634, 12.7687__58.5749, 13.9805__58.6487, 15.3657__58.5007, 15.7959__58.5561, 17.3648__58.7612, 17.8176__58.7019, 19.3338__58.7110, 20.1385__59.1796, 21.1253__58.6831, 22.5713__58.6400, 22.8147__58.7410, 24.1779__58.7521, 24.8021__59.1267, 25.9257__59.4135, 27.1879__59.0750, 27.7137__59.0338, 29.0115__59.1012, 29.6971__59.0093, 30.7183__59.1968, 31.3558__59.1866, 32.5433__59.3231, 33.8610__59.1214, 34.1022__59.0179, 35.5229__59.1015, 36.4770__58.9674, 37.0511__59.1470, 38.4445__58.8306, 39.5849__59.0293, 40.6133__58.9570, 41.3192__58.6435, 42.7183__59.0973, 43.5598__58.9523, 44.7506__59.2667, 45.9848__58.9586, 46.3362__58.9438, 47.8553__58.6339, 48.9815__58.6748, 49.9584__59.1837, 50.4546__58.9179, 51.7231__58.9851, 52.1006__59.0257, 53.9172__58.8101, 54.5854__59.0905, 55.8678__59.2008, 56.5805__58.9842, 57.8590__59.0956, 58.6135__58.6729, 59.6401__58.5846, 61.0282__58.3648, 61.4555__58.3266, 62.8816__58.5435, 64.0000__58.3984, 
0.0000__57.8258, 1.1138__58.3404, 1.5470__57.9864, 2.7399__57.7503, 3.7910__58.0753, 4.8533__57.6070, 5.7930__58.2850, 6.8584__57.8605, 8.0998__57.9894, 8.8037__57.7534, 10.0719__57.5573, 10.9603__57.7940, 11.8098__57.7297, 12.5351__57.6246, 14.3837__57.5317, 15.1286__57.6083, 16.1572__57.4387, 16.8661__57.3947, 18.3702__57.4101, 18.7957__57.3069, 20.0475__57.4608, 21.4982__57.6879, 21.9905__58.0186, 23.1063__58.1080, 23.9405__57.8826, 24.7789__57.8282, 25.7508__57.7785, 27.1716__58.4377, 27.7866__58.3940, 28.9854__58.1089, 29.4786__58.3532, 30.7496__58.4185, 31.3947__58.3305, 32.9269__57.7682, 33.5904__58.0812, 34.4604__58.1599, 35.4341__57.5200, 36.1836__57.9290, 37.1882__57.8908, 38.6563__57.9188, 39.3060__57.8862, 40.9751__58.1794, 41.4815__57.9868, 42.5869__57.7326, 43.4970__58.2136, 44.9945__57.7825, 45.8474__58.3824, 47.0546__57.7188, 47.8564__57.6056, 48.5365__57.9033, 49.8882__57.8249, 50.4620__58.3103, 51.7215__58.5619, 52.5382__58.0372, 53.3888__57.8018, 54.6263__57.9823, 55.4210__57.6325, 56.9044__57.9754, 57.8000__57.7095, 58.7690__58.0434, 59.9068__57.7808, 61.1268__57.8470, 61.9113__57.3308, 62.6568__56.9469, 64.0000__57.4336, 
0.0000__57.1234, 0.8270__56.9483, 2.4310__57.4016, 3.0047__56.6317, 4.2194__56.9517, 4.6099__57.2803, 5.9080__56.5940, 6.9270__56.7911, 7.9100__56.8338, 9.2979__56.7457, 9.9344__56.6101, 10.8656__56.5907, 11.7580__56.8390, 12.9873__56.6992, 14.1144__56.6747, 15.3701__56.6336, 16.1695__56.5915, 17.0997__56.4600, 18.2019__56.5299, 19.0032__56.5542, 19.5823__56.6076, 21.3675__56.9832, 21.9782__56.8395, 23.1763__56.7887, 23.8579__57.0622, 24.8534__57.1216, 25.5200__57.1572, 26.9188__57.0011, 27.8677__56.9411, 29.0003__57.1021, 29.2522__57.0894, 30.7913__57.3571, 31.9829__56.7278, 32.4785__57.0455, 33.5400__57.1611, 34.7393__56.6713, 35.3621__56.9045, 35.9758__56.7355, 37.5904__56.5150, 38.1218__56.5479, 39.8192__56.5294, 40.3295__56.4052, 41.6689__56.6989, 42.4220__56.8944, 43.4977__56.6397, 44.8377__57.1885, 45.9159__56.5433, 46.7304__56.8350, 47.6774__57.3128, 48.6718__57.0658, 49.3573__57.3300, 50.5847__57.2964, 51.6497__56.8569, 52.9263__57.2851, 53.5262__57.0047, 54.9598__57.2607, 55.8783__56.7784, 56.8468__56.2673, 57.8071__56.6484, 58.7327__56.2452, 59.8123__56.5974, 61.1661__56.5432, 62.3055__56.5077, 62.9585__56.2398, 64.0000__55.8180, 
0.0000__56.0483, 1.2434__55.8693, 1.9982__55.5279, 3.1147__56.0590, 3.5716__56.3060, 5.0783__55.9462, 6.2220__55.8355, 6.8869__55.5147, 7.9913__55.4933, 8.9367__55.8263, 10.1289__55.9450, 10.5361__56.0295, 12.0304__55.8916, 12.8122__55.9120, 14.4662__55.7476, 15.0474__55.9527, 16.5207__55.9158, 17.0977__55.5583, 18.0828__55.5822, 18.8253__55.8718, 19.6250__56.0351, 21.2765__55.7978, 22.0033__56.0377, 22.8334__56.3131, 23.7651__56.4696, 24.7774__56.5379, 25.6479__56.4100, 27.1027__56.3241, 28.0130__56.1099, 28.7722__56.2934, 29.6909__56.3008, 30.7744__55.5525, 31.6373__56.1333, 32.5376__56.0405, 33.7906__55.5518, 34.4516__55.8795, 35.2940__55.8761, 36.4148__55.7547, 37.3762__55.6888, 38.1299__55.7075, 39.6767__55.6279, 40.1663__55.8609, 41.4446__55.8480, 42.3464__55.8224, 43.7211__55.8616, 44.3609__55.5220, 46.0884__55.9278, 46.3005__55.7792, 47.4085__55.5196, 48.7234__56.1475, 49.4687__55.8309, 50.4176__56.0196, 52.0043__56.0666, 52.4787__55.8720, 53.9473__56.1186, 54.7421__55.7674, 56.2695__55.9338, 57.1938__55.8392, 58.0183__55.1967, 58.3759__55.5781, 59.9005__55.6821, 61.1385__55.4895, 62.3775__55.3323, 63.1742__55.1600, 64.0000__55.2725, 
0.0000__54.5939, 1.0351__55.0339, 2.3337__55.0452, 2.5684__54.5566, 4.0785__54.6883, 4.9260__54.8500, 6.2558__55.0121, 7.1227__55.0136, 7.7645__54.9625, 8.9311__54.9049, 9.9994__54.9023, 10.7682__54.7944, 11.7352__54.8881, 13.0461__54.8354, 14.2324__55.0305, 14.9344__55.2742, 16.5155__55.0552, 17.2193__55.1649, 17.9586__55.0964, 18.6299__55.1373, 19.8827__54.8599, 20.6921__55.2679, 22.0399__55.3626, 22.4476__55.2921, 24.0857__55.3114, 24.5570__55.2938, 26.0482__55.3450, 27.0772__55.1273, 28.0928__55.2215, 28.5849__55.0596, 29.9334__54.9847, 30.7520__55.4115, 31.5225__55.0322, 32.8772__54.9792, 33.7829__55.0716, 34.2564__54.9948, 35.4849__55.0847, 36.4407__55.1964, 37.5715__55.1802, 38.2079__54.9319, 39.6679__54.9509, 40.1646__54.7504, 41.4505__54.8806, 42.5435__54.7504, 43.5012__54.9241, 45.0811__54.8054, 45.3541__54.7040, 46.9220__55.0946, 47.5158__54.6102, 48.4507__54.5875, 49.5441__55.2029, 50.5167__54.8149, 51.7109__54.9424, 52.6987__55.2751, 53.6982__55.0105, 55.2302__55.1251, 55.9851__54.6653, 57.4838__54.5529, 57.9517__54.8277, 58.5451__54.4922, 59.8927__54.5162, 61.3756__54.4234, 62.1133__54.5550, 63.4193__54.6482, 64.0000__54.3842, 
0.0000__54.0103, 1.1431__53.5120, 2.0463__53.7367, 3.1947__53.8452, 3.5222__53.5306, 5.0233__53.8990, 6.0153__53.8241, 7.0013__54.1049, 7.9921__54.0724, 9.0507__53.9855, 9.7861__54.1346, 10.8771__54.3433, 11.7714__54.0486, 13.0838__53.8945, 13.8629__54.1106, 15.3175__53.9853, 16.3396__54.0023, 17.1932__54.0579, 17.8814__54.1945, 18.8459__54.2314, 19.8151__54.4259, 20.9992__53.8046, 21.5416__53.9990, 22.9897__54.0287, 23.6362__54.0665, 24.7918__54.3611, 25.9284__54.0395, 27.1134__54.4501, 28.1311__54.2822, 28.8009__54.2224, 29.7540__54.3491, 30.9561__53.7455, 31.8770__54.0061, 32.9032__53.8434, 33.6847__53.8359, 34.4312__54.0475, 35.2330__53.8675, 36.6103__54.0046, 37.7233__54.0276, 38.4439__53.9348, 39.6943__53.7880, 40.0786__53.9794, 41.7164__53.7852, 42.3331__53.9666, 44.0436__53.4984, 44.4755__53.7123, 45.5808__54.2379, 46.6154__53.5971, 47.7258__54.0184, 48.3995__53.8898, 49.3722__53.6848, 51.0022__53.7784, 51.2954__53.7727, 52.7683__53.8496, 54.0895__53.6830, 54.8513__53.5666, 56.3773__53.8702, 56.9913__54.0466, 58.2330__53.7560, 58.7369__53.7497, 59.8939__53.6653, 61.3933__53.8341, 62.1266__53.5818, 63.0747__53.4478, 64.0000__54.1837, 
