3.9600, 1.8300, 3.0200, 4.0200, 4.5500, 4.1000, 2.5400, 2.5000, 4.0100, 4.4500, 2.3700, 1.3000, 4.8200, 2.2600, 4.2300, 2.2200, 
2.3300, 3.3600, 3.8800, 3.5200, 3.3300, 4.7000, 1.8800, 3.4000, 4.8000, 4.8600, 4.5400, 3.1400, 1.0800, 1.0600, 4.0300, 2.0700, 
3.3000, 2.9400, 4.2800, 1.4800, 2.9600, 4.8800, 4.4300, 4.1500, 2.1700, 1.8400, 1.5200, 2.2000, 1.4800, 3.6100, 3.6700, 4.6700, 
3.6000, 4.2000, 4.7500, 4.5700, 3.6700, 2.8500, 1.9800, 2.3400, 2.4200, 4.4300, 1.2200, 1.6900, 3.7400, 4.0700, 2.4200, 2.6300, 
2.6000, 4.0400, 3.9400, 4.2800, 2.0900, 1.4100, 3.0700, 4.7200, 1.6300, 4.7100, 4.2900, 3.5200, 3.2000, 3.3300, 3.9300, 1.6300, 
1.6800, 2.7900, 3.6100, 1.5600, 2.6400, 3.7500, 2.0500, 4.8200, 1.5000, 4.7900, 1.4400, 1.8700, 4.3600, 1.0900, 4.4900, 4.0000, 
2.6100, 4.8400, 4.4800, 4.7900, 4.6300, 1.2500, 4.2800, 2.3600, 2.9200, 4.8300, 4.5200, 4.7900, 4.9600, 1.6100, 3.5200, 1.1000, 
2.2500, 2.5500, 2.4000, 3.8800, 1.6900, 1.6700, 4.9900, 3.7500, 1.5900, 3.6400, 4.9900, 1.6000, 2.4200, 4.8900, 4.1700, 1.1200, 
2.2000, 1.6300, 2.8500, 2.5700, 2.0000, 4.0100, 2.1200, 2.5300, 1.4300, 4.9300, 3.3600, 3.0500, 4.0500, 4.9900, 4.3900, 3.4300, 
2.7800, 1.9400, 2.6700, 2.9000, 1.3200, 4.3100, 4.6200, 2.1600, 3.8700, 2.0900, 1.1300, 1.4500, 3.4800, 1.2900, 3.4500, 1.8700, 
3.7200, 4.3100, 1.7200, 4.7900, 1.9200, 1.3800, 1.7000, 1.3300, 4.3600, 3.6700, 4.5300, 1.9300, 2.3000, 3.3600, 2.9400, 2.6100, 
3.3700, 4.9000, 4.3100, 2.6700, 2.5100, 1.5900, 1.5900, 4.1400, 3.1700, 2.4600, 2.7500, 2.9100, 1.9500, 4.3800, 4.3700, 4.3500, 
4.6200, 4.8100, 2.5800, 1.5600, 2.6400, 3.5900, 3.4900, 4.3700, 3.2000, 4.5000, 4.3300, 2.7500, 3.4400, 4.7500, 1.4200, 1.6700, 
2.1500, 1.2300, 4.6700, 3.5400, 4.4600, 3.2000, 4.2700, 4.8200, 1.3500, 3.2800, 3.4200, 3.1900, 1.5100, 3.9800, 3.3300, 2.8900, 
4.5300, 2.7400, 1.3500, 3.5100, 3.0400, 2.4700, 1.0100, 4.9700, 3.8400, 2.7200, 2.2500, 2.2900, 3.5600, 3.9300, 3.6200, 1.1600, 
2.9800, 1.8400, 3.7500, 4.4100, 1.9200, 3.0700, 2.2900, 4.5100, 4.8000, 4.5700, 4.4700, 3.9200, 4.8100, 2.4900, 2.9600, 4.0100
